add-yield-none,2,10,40,-959675205,-23991880,0
add-yield-none,2,20,80,25869201,323365,0
add-yield-none,2,40,160,25752438,160952,0
add-yield-none,2,80,320,25612034,80037,0
add-yield-none,2,1000,4000,50938746,12734,0
add-yield-none,2,10000,40000,89090490,2227,0
add-yield-none,2,100000,400000,-231485570,-578,705
add-yield-none,4,10,80,64889390,811117,0
add-yield-none,4,20,160,69264270,432901,0
add-yield-none,4,40,320,26617489,83179,0
add-yield-none,4,80,640,51196618,79994,0
add-yield-none,4,1000,8000,56197394,7024,0
add-yield-none,4,10000,80000,121221973,1515,-511
add-yield-none,4,100000,800000,21222814,26,8547
add-yield-none,8,10,160,47212415,295077,2
add-yield-none,8,20,320,47155945,147362,16
add-yield-none,8,40,640,37195859,58118,36
add-yield-none,8,80,1280,51115780,39934,41
add-yield-none,8,1000,16000,55482964,3467,930
add-yield-none,8,10000,160000,169707216,1060,-3409
add-yield-none,8,100000,1600000,-268826038,-168,-106140
add-yield-none,12,10,240,1454087,6058,5
add-yield-none,12,20,480,1350274,2813,27
add-yield-none,12,40,960,687671,716,92
add-yield-none,12,80,1920,672290,350,173
add-yield-none,12,1000,24000,2854322,118,-135
add-yield-none,12,10000,240000,24828890,103,-1712
add-yield-none,12,100000,2400000,226016976,94,-15603
add-yield-none,2,100,400,433342,1083,0
add-none,2,100,400,275299,688,-59
add-yield-none,2,1000,4000,1477677,369,30
add-none,2,1000,4000,324508,81,0
add-yield-none,2,10000,40000,12405604,310,4
add-none,2,10000,40000,980153,24,-1351
add-yield-none,2,100000,400000,144851564,362,-1919
add-none,2,100000,400000,6530793,16,-16953
add-yield-none,8,100,1600,574017,358,134
add-none,8,100,1600,575226,359,0
add-yield-none,8,1000,16000,2324323,145,-76
add-none,8,1000,16000,1352351,84,-29
add-yield-none,8,10000,160000,20869300,130,-863
add-none,8,10000,160000,5113563,31,-2111
add-yield-none,8,100000,1600000,-795094733,-496,-7330
add-none,8,100000,1600000,40939745,25,-52755
add-none,1,10,20,332435,16621,0
add-none,1,100,200,288910,1444,0
add-none,1,10000,20000,412444,20,0
add-none,1,100000,200000,1542051,7,0
add-yield-m,2,10000,40000,51915564,1297,0
add-yield-m,4,10000,80000,133887609,1673,0
add-yield-m,8,10000,160000,322532417,2015,0
add-yield-m,12,10000,240000,-544026255,-2266,0
add-yield-s,2,1000,4000,3530544,882,0
add-yield-s,4,1000,8000,16573605,2071,0
add-yield-s,8,1000,16000,33305536,2081,0
add-yield-s,12,1000,24000,66607683,2775,0
add-yield-c,2,10000,40000,28237066,705,0
add-yield-c,4,10000,80000,67377266,842,0
add-yield-c,8,10000,160000,139491785,871,0
add-yield-c,12,10000,240000,237348148,988,0
add-none,1,10000,20000,403359,20,0
add-none,2,10000,40000,698126,17,2897
add-none,4,10000,80000,1694313,21,-1625
add-none,8,10000,160000,4391267,27,-5530
add-none,12,10000,240000,6276164,26,-4514
add-m,1,10000,20000,1030474,51,0
add-m,2,10000,40000,4215392,105,0
add-m,4,10000,80000,14487343,181,0
add-m,8,10000,160000,36076415,225,0
add-m,12,10000,240000,46853935,195,0
add-s,1,10000,20000,633321,31,0
add-s,2,10000,40000,7499667,187,0
add-s,4,10000,80000,46011440,575,0
add-s,8,10000,160000,136635114,853,0
add-s,12,10000,240000,-755380962,-3147,0
add-c,1,10000,20000,673022,33,0
add-c,2,10000,40000,3055686,76,0
add-c,4,10000,80000,11618784,145,0
add-c,8,10000,160000,34106914,213,0
add-c,12,10000,240000,58440258,243,0
