list-none-none,1,10,1,30,247735,8257
list-none-none,1,100,1,300,236778,789
list-none-none,1,1000,1,3000,4044847,1348
list-none-none,1,10000,1,30000,-157452132,-5248
list-none-none,1,20000,1,60000,316669061,5277
list-none-none,2,1,1,6,226879,37813
list-none-none,2,10,1,60,221937,3698
list-none-none,4,1,1,12,481177,40098
list-none-none,4,10,1,120,297571,2479
list-none-none,8,1,1,24,439015,18292
list-none-none,8,10,1,240,1029760,4290
list-none-none,12,1,1,36,1654885,45969
list-none-none,12,10,1,360,1386011,3850
list-i-none,2,1,1,6,234830,39138
list-d-none,2,1,1,6,199569,33261
list-il-none,2,1,1,6,204291,34048
list-dl-none,2,1,1,6,209936,34989
list-i-none,2,2,1,12,203655,16971
list-d-none,2,2,1,12,209401,17450
list-il-none,2,2,1,12,202236,16853
list-dl-none,2,2,1,12,204702,17058
list-i-none,2,4,1,24,204986,8541
list-d-none,2,4,1,24,200980,8374
list-il-none,2,4,1,24,205649,8568
list-dl-none,2,4,1,24,209019,8709
list-i-none,2,8,1,48,211583,4407
list-d-none,2,8,1,48,211299,4402
list-i-none,4,1,1,12,298661,24888
list-d-none,4,1,1,12,286353,23862
list-il-none,4,1,1,12,285473,23789
list-dl-none,4,1,1,12,263118,21926
list-i-none,4,2,1,24,267576,11149
list-d-none,4,2,1,24,282323,11763
list-il-none,4,2,1,24,290952,12123
list-dl-none,4,2,1,24,274812,11450
list-i-none,4,4,1,48,281615,5866
list-d-none,4,4,1,48,308883,6435
list-il-none,4,4,1,48,287476,5989
list-dl-none,4,4,1,48,283525,5906
list-i-none,4,8,1,96,281020,2927
list-d-none,4,8,1,96,274129,2855
list-i-none,8,1,1,24,1113582,46399
list-d-none,8,1,1,24,1168466,48686
list-il-none,8,1,1,24,1044162,43506
list-dl-none,8,1,1,24,1087102,45295
list-i-none,8,2,1,48,428325,8923
list-d-none,8,2,1,48,1106506,23052
list-il-none,8,2,1,48,1196547,24928
list-dl-none,8,2,1,48,1181983,24624
list-i-none,8,4,1,96,1167287,12159
list-d-none,8,4,1,96,1101951,11478
list-il-none,8,4,1,96,414895,4321
list-dl-none,8,4,1,96,423490,4411
list-i-none,8,8,1,192,406370,2116
list-d-none,8,8,1,192,617329,3215
list-i-none,12,1,1,36,1325088,36808
list-d-none,12,1,1,36,1301155,36143
list-il-none,12,1,1,36,1288524,35792
list-dl-none,12,1,1,36,1233546,34265
list-i-none,12,2,1,72,1342135,18640
list-d-none,12,2,1,72,491625,6828
list-il-none,12,2,1,72,1256941,17457
list-dl-none,12,2,1,72,1319065,18320
list-i-none,12,4,1,144,1322254,9182
list-d-none,12,4,1,144,1833209,12730
list-i-none,12,8,1,288,1253518,4352
list-d-none,12,8,1,288,1152512,4001
list-i-m,12,32,1,1152,1356164,1177
list-d-m,12,32,1,1152,1297264,1126
list-il-m,12,32,1,1152,2918821,2533
list-dl-m,12,32,1,1152,3017076,2618
list-i-s,12,32,1,1152,1385545,1202
list-d-s,12,32,1,1152,1274832,1106
list-il-s,12,32,1,1152,3375731,2930
list-dl-s,12,32,1,1152,3324251,2885
list-none-m,1,1000,1,3000,4066749,1355
list-none-s,1,1000,1,3000,4069301,1356
list-none-m,2,1000,1,6000,11596052,1932
list-none-s,2,1000,1,6000,10734540,1789
list-none-m,4,1000,1,12000,23183592,1931
list-none-s,4,1000,1,12000,-974969826,-81247
list-none-m,8,1000,1,24000,67119705,2796
list-none-s,8,1000,1,24000,71255122,2968
list-none-m,12,1000,1,36000,79675169,2213
list-none-s,12,1000,1,36000,86838973,2412
list-none-m,16,1000,1,48000,177594748,3699
list-none-s,16,1000,1,48000,187458106,3905
list-none-m,24,1000,1,72000,220268389,3059
list-none-s,24,1000,1,72000,-760466391,-10562
